ID_PROD_UNID_FAT,QTD_FINAL_V33,NEC_DIRETA_PCS_V33,NEC_ESTRUTURAL_BRUTA_PCS_V33,ESTOQUE_ESTRUTURAL_CONSUMIDO_PCS_V33,NEC_ESTRUTURAL_PCS_V33,NEC_TOTAL_PCS_V33,QTD_PRODUZIR_DIRETA_SOLVER_V33,QTD_PRODUZIR_ESTRUTURAL_SOLVER_V33,DIF_FALTA_PAI_FILHO_V33,DIF_SOBRA_PAI_FILHO_V33
AGO26|ACESSÓRIOS|2444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|ACESSÓRIOS|2922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|0798PI,0.0,0.0,1407.0,1407.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|0817PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|0859TB-BR,0.0,0.0,1348.0223592705606,1348.0223592705606,0.0,0.0,0.0,0.0,0.0,0.0
